學生編號,年齡,性別,學業程度／年級,國家,每日平均使用社群媒體時數,"	最常使用的社群平台",是否影響學業表現,每晚睡眠時數,心理健康分數,感情狀況,"	是否因社群媒體產生衝突",成癮程度分數
666,23,男性,研究生,UK,6.3,Twitter,Yes,6.2,5,單身,4,8
667,21,女性,大學,Italy,4.8,TikTok,No,7.1,7,戀愛中,2,5
668,24,男性,研究生,Russia,6.9,Instagram,Yes,5.9,4,單身,5,9
669,19,女性,大學,China,5.7,WeChat,Yes,6.7,6,戀愛中,3,7
670,22,男性,研究生,Japan,4.4,Twitter,No,7.4,8,單身,2,4
671,20,女性,大學,Poland,6.1,Facebook,Yes,6.4,5,單身,4,8
672,23,男性,研究生,Finland,4.3,Instagram,No,7.5,7,戀愛中,2,5
673,21,女性,大學,Spain,6.4,TikTok,Yes,6.2,5,單身,4,8
674,24,男性,研究生,Denmark,4.5,Twitter,No,7.3,7,戀愛中,2,5
675,19,女性,大學,Ireland,5.9,Instagram,Yes,6.5,6,單身,3,7
676,22,男性,研究生,India,7.2,Facebook,Yes,5.7,4,單身,5,9
677,20,女性,大學,Switzerland,4.6,TikTok,No,7.2,7,戀愛中,2,5
678,23,男性,研究生,Turkey,6.8,Instagram,Yes,6,5,單身,4,8
679,21,女性,大學,USA,5.3,Twitter,Yes,6.8,6,戀愛中,3,7
680,24,男性,研究生,Mexico,6.2,Facebook,Yes,6.3,5,單身,4,8
681,19,女性,大學,France,4.7,Instagram,No,7.2,7,戀愛中,2,5
682,22,男性,研究生,Canada,5.8,TikTok,Yes,6.6,6,單身,3,7
683,20,女性,大學,UK,6.1,Twitter,Yes,6.4,5,單身,4,8
684,23,男性,研究生,Italy,4.8,Facebook,No,7.1,7,戀愛中,2,5
685,21,女性,大學,Russia,6.7,Instagram,Yes,6,4,單身,5,9
686,24,男性,研究生,China,5.5,WeChat,Yes,6.8,6,戀愛中,3,7
687,19,女性,大學,Japan,4.2,Twitter,No,7.5,8,單身,2,4
688,22,男性,研究生,Poland,6.3,TikTok,Yes,6.2,5,單身,4,8
689,20,女性,大學,Finland,4.4,Instagram,No,7.4,7,戀愛中,2,5
690,23,男性,研究生,Spain,6.5,Facebook,Yes,6.1,5,單身,4,8
691,21,女性,大學,Denmark,4.6,Twitter,No,7.3,7,戀愛中,2,5
692,24,男性,研究生,Ireland,5.9,Instagram,Yes,6.5,6,單身,3,7
693,19,女性,大學,India,7,TikTok,Yes,5.8,4,單身,5,9
694,22,男性,研究生,Switzerland,4.5,Facebook,No,7.3,7,戀愛中,2,5
695,20,女性,大學,Turkey,6.6,Instagram,Yes,6.1,5,單身,4,8
696,23,男性,研究生,USA,5.5,Twitter,Yes,6.7,6,戀愛中,3,7
697,21,女性,大學,Mexico,6.3,TikTok,Yes,6.2,5,單身,4,8
698,24,男性,研究生,France,4.8,Facebook,No,7.1,7,戀愛中,2,5
699,19,女性,大學,Canada,5.7,Instagram,Yes,6.6,6,單身,3,7
700,22,男性,研究生,UK,6.2,Twitter,Yes,6.3,5,單身,4,8
701,20,女性,大學,Italy,4.7,TikTok,No,7.2,7,戀愛中,2,5
702,23,男性,研究生,Russia,6.8,Instagram,Yes,5.9,4,單身,5,9
703,21,女性,大學,China,5.6,WeChat,Yes,6.7,6,戀愛中,3,7
704,24,男性,研究生,Japan,4.3,Twitter,No,7.5,8,單身,2,4
705,19,女性,大學,Poland,6.2,Facebook,Yes,6.3,5,單身,4,8
